,model,environment,episode,round,state,action,reward,done
0,QLearningCS,DiscreteForagersEnv,0,0,[0.16654237 0.9229169 ],7,0.6990079527494137,False
1,QLearningCS,DiscreteForagersEnv,0,1,[0.7 1. ],5,0.35604397671272126,False
2,QLearningCS,DiscreteForagersEnv,0,2,[0.5  0.91],1,0.0,True
3,QLearningCS,DiscreteForagersEnv,1,0,[0.90691024 0.33427584],4,1.008531776710835,False
4,QLearningCS,DiscreteForagersEnv,1,1,[0.4 1. ],10,1.2466125034604632,False
5,QLearningCS,DiscreteForagersEnv,1,2,[1. 1.],0,0.9120773348146929,False
6,QLearningCS,DiscreteForagersEnv,1,3,[0. 1.],1,0.5447853203137805,False
7,QLearningCS,DiscreteForagersEnv,1,4,[0.1 1. ],7,0.1302034934396803,False
8,QLearningCS,DiscreteForagersEnv,1,5,[0.7 1. ],5,0.0,True
9,QLearningCS,DiscreteForagersEnv,2,0,[0.36805496 0.30979472],9,0.5763324282399617,False
10,QLearningCS,DiscreteForagersEnv,2,1,[0.9 1. ],0,0.19019607820221218,False
11,QLearningCS,DiscreteForagersEnv,2,2,[0. 1.],1,0.0,True
12,QLearningCS,DiscreteForagersEnv,3,0,[0.60754645 0.93299747],5,0.9274029982363317,False
13,QLearningCS,DiscreteForagersEnv,3,1,[0.5 1. ],6,1.3251207449201987,False
14,QLearningCS,DiscreteForagersEnv,3,2,[0.6 1. ],6,1.0205861980062911,False
15,QLearningCS,DiscreteForagersEnv,3,3,[0.6 1. ],6,0.6873239056045455,False
16,QLearningCS,DiscreteForagersEnv,3,4,[0.6 1. ],6,0.3103764465105504,False
17,QLearningCS,DiscreteForagersEnv,3,5,[0.6 1. ],6,0.0,True
18,QLearningCS,DiscreteForagersEnv,4,0,[0.27963254 0.65370435],10,0.58312447786132,False
19,QLearningCS,DiscreteForagersEnv,4,1,[1. 1.],0,0.19107142857142878,False
20,QLearningCS,DiscreteForagersEnv,4,2,[0. 1.],1,0.0,True
21,QLearningCS,DiscreteForagersEnv,5,0,[0.685999   0.40069944],3,1.0676146327187774,False
22,QLearningCS,DiscreteForagersEnv,5,1,[0.3 1. ],10,1.379704893012249,False
23,QLearningCS,DiscreteForagersEnv,5,2,[1. 1.],0,1.063177653211326,False
24,QLearningCS,DiscreteForagersEnv,5,3,[0. 1.],7,0.7185336467813994,False
25,QLearningCS,DiscreteForagersEnv,5,4,[0.7 1. ],5,0.33329853359833295,False
26,QLearningCS,DiscreteForagersEnv,5,5,[0.5 1. ],6,0.0,True
27,QLearningCS,DiscreteForagersEnv,6,0,[0.8837434  0.08483665],3,0.3888888888888889,False
28,QLearningCS,DiscreteForagersEnv,6,1,[0.3 0.4],9,0.5763324282399617,False
29,QLearningCS,DiscreteForagersEnv,6,2,[0.9 1. ],0,0.19019607820221218,False
30,QLearningCS,DiscreteForagersEnv,6,3,[0. 1.],7,0.0,True
31,QLearningCS,DiscreteForagersEnv,7,0,[0.40820485 0.8093158 ],8,0.5517416037054078,False
32,QLearningCS,DiscreteForagersEnv,7,1,[0.8 1. ],5,0.1690950785251213,False
33,QLearningCS,DiscreteForagersEnv,7,2,[0.5  0.91],5,0.0,True
34,QLearningCS,DiscreteForagersEnv,8,0,[0.878311   0.30394882],4,1.008531776710835,False
35,QLearningCS,DiscreteForagersEnv,8,1,[0.4 1. ],10,1.2466125034604632,False
36,QLearningCS,DiscreteForagersEnv,8,2,[1. 1.],0,0.9120773348146929,False
37,QLearningCS,DiscreteForagersEnv,8,3,[0. 1.],7,0.5447853203137805,False
38,QLearningCS,DiscreteForagersEnv,8,4,[0.7 1. ],5,0.1302034934396803,False
39,QLearningCS,DiscreteForagersEnv,8,5,[0.5 1. ],6,0.0,True
40,QLearningCS,DiscreteForagersEnv,9,0,[0.5305921  0.28559753],10,0.58312447786132,False
41,QLearningCS,DiscreteForagersEnv,9,1,[1. 1.],0,0.19107142857142878,False
42,QLearningCS,DiscreteForagersEnv,9,2,[0. 1.],7,0.0,True
43,QLearningCS,DiscreteForagersEnv,10,0,[0.14020501 0.40698752],6,0.8242283678349148,False
44,QLearningCS,DiscreteForagersEnv,10,1,[0.6 1. ],5,0.5158594143243476,False
45,QLearningCS,DiscreteForagersEnv,10,2,[0.5  0.91],8,0.5183464438563801,False
46,QLearningCS,DiscreteForagersEnv,10,3,[0.8 1. ],5,0.1017169338990569,False
47,QLearningCS,DiscreteForagersEnv,10,4,[0.5 1. ],10,0.1017169338990569,False
48,QLearningCS,DiscreteForagersEnv,10,5,[1. 1.],2,0.0,True
49,QLearningCS,DiscreteForagersEnv,11,0,[2.1292733e-01 5.6894842e-05],1,0.3888888888888889,False
50,QLearningCS,DiscreteForagersEnv,11,1,[0.1 0.4],6,0.8242283678349148,False
51,QLearningCS,DiscreteForagersEnv,11,2,[0.6 1. ],5,0.5158594143243476,False
52,QLearningCS,DiscreteForagersEnv,11,3,[0.5  0.91],8,0.5183464438563801,False
53,QLearningCS,DiscreteForagersEnv,11,4,[0.8 1. ],5,0.1017169338990569,False
54,QLearningCS,DiscreteForagersEnv,11,5,[0.5 1. ],10,0.1017169338990569,False
55,QLearningCS,DiscreteForagersEnv,11,6,[1. 1.],0,0.0,True
56,QLearningCS,DiscreteForagersEnv,12,0,[0.6940586 0.675768 ],7,0.6990079527494137,False
57,QLearningCS,DiscreteForagersEnv,12,1,[0.7 1. ],5,0.35604397671272126,False
58,QLearningCS,DiscreteForagersEnv,12,2,[0.5  0.91],8,0.0,True
59,QLearningCS,DiscreteForagersEnv,13,0,[0.40236887 0.28133684],9,0.5763324282399617,False
60,QLearningCS,DiscreteForagersEnv,13,1,[0.9 1. ],0,0.19019607820221218,False
61,QLearningCS,DiscreteForagersEnv,13,2,[0. 1.],7,0.0,True
62,QLearningCS,DiscreteForagersEnv,14,0,[0.4723682  0.13735844],3,0.3888888888888889,False
63,QLearningCS,DiscreteForagersEnv,14,1,[0.3 0.4],9,0.5763324282399617,False
64,QLearningCS,DiscreteForagersEnv,14,2,[0.9 1. ],0,0.19019607820221218,False
65,QLearningCS,DiscreteForagersEnv,14,3,[0. 1.],7,0.0,True
66,QLearningCS,DiscreteForagersEnv,15,0,[0.5280353  0.11125193],3,0.3888888888888889,False
67,QLearningCS,DiscreteForagersEnv,15,1,[0.3 0.4],9,0.5763324282399617,False
