,model,environment,episode,round,state,action,reward,done
0,QLearningCS,MountainCar-v0,0,0,[-0.5253039  0.       ],1,-1.0,False
1,QLearningCS,MountainCar-v0,0,1,[-5.2529109e-01  1.2788261e-05],2,-1.0,False
2,QLearningCS,MountainCar-v0,0,2,[-0.5242656   0.00102548],0,-1.0,False
3,QLearningCS,MountainCar-v0,0,3,[-5.242351e-01  3.048191e-05],1,-1.0,False
4,QLearningCS,MountainCar-v0,0,4,[-5.2419990e-01  3.5254594e-05],0,-1.0,False
5,QLearningCS,MountainCar-v0,0,5,[-0.52516013 -0.00096024],2,-1.0,False
6,QLearningCS,MountainCar-v0,0,6,[-5.2510864e-01  5.1472882e-05],0,-1.0,False
7,QLearningCS,MountainCar-v0,0,7,[-0.52604586 -0.0009372 ],1,-1.0,False
8,QLearningCS,MountainCar-v0,0,8,[-0.5269647  -0.00091885],2,-1.0,False
9,QLearningCS,MountainCar-v0,0,9,[-5.268583e-01  1.063937e-04],0,-1.0,False
10,QLearningCS,MountainCar-v0,0,10,[-0.5277275  -0.00086916],1,-1.0,False
11,QLearningCS,MountainCar-v0,0,11,[-0.52856565 -0.0008382 ],2,-1.0,False
12,QLearningCS,MountainCar-v0,0,12,[-5.2836663e-01  1.9905438e-04],0,-1.0,False
13,QLearningCS,MountainCar-v0,0,13,[-0.52913177 -0.00076519],0,-1.0,False
14,QLearningCS,MountainCar-v0,0,14,[-0.5308555  -0.00172369],1,-1.0,False
15,QLearningCS,MountainCar-v0,0,15,[-0.53252476 -0.00166927],2,-1.0,False
16,QLearningCS,MountainCar-v0,0,16,[-0.53312707 -0.00060233],1,-1.0,False
17,QLearningCS,MountainCar-v0,0,17,[-5.3365797e-01 -5.3088187e-04],0,-1.0,False
18,QLearningCS,MountainCar-v0,0,18,[-0.5351134  -0.00145545],2,-1.0,False
19,QLearningCS,MountainCar-v0,0,19,[-5.3548253e-01 -3.6910665e-04],1,-1.0,False
20,QLearningCS,MountainCar-v0,0,20,[-5.3576255e-01 -2.7999739e-04],0,-1.0,False
21,QLearningCS,MountainCar-v0,0,21,[-0.5369513  -0.00118879],2,-1.0,False
22,QLearningCS,MountainCar-v0,0,22,[-5.3704000e-01 -8.8672234e-05],1,-1.0,False
23,QLearningCS,MountainCar-v0,0,23,[-5.3702790e-01  1.2109545e-05],2,-1.0,False
24,QLearningCS,MountainCar-v0,0,24,[-0.5359151  0.0011128],0,-1.0,False
25,QLearningCS,MountainCar-v0,0,25,[-5.3570992e-01  2.0515182e-04],1,-1.0,False
26,QLearningCS,MountainCar-v0,0,26,[-5.3541398e-01  2.9596547e-04],2,-1.0,False
27,QLearningCS,MountainCar-v0,0,27,[-0.5340294   0.00138456],0,-1.0,False
28,QLearningCS,MountainCar-v0,0,28,[-5.3356659e-01  4.6277774e-04],1,-1.0,False
29,QLearningCS,MountainCar-v0,0,29,[-0.5330291   0.00053753],2,-1.0,False
30,QLearningCS,MountainCar-v0,0,30,[-0.5314208   0.00160824],0,-1.0,False
31,QLearningCS,MountainCar-v0,0,31,[-0.53075397  0.0006669 ],1,-1.0,False
32,QLearningCS,MountainCar-v0,0,32,[-0.5300334   0.00072056],2,-1.0,False
33,QLearningCS,MountainCar-v0,0,33,[-0.5282646   0.00176882],1,-1.0,False
34,QLearningCS,MountainCar-v0,0,34,[-0.52646077  0.00180381],0,-1.0,False
35,QLearningCS,MountainCar-v0,0,35,[-0.5256355   0.00082528],2,-1.0,False
36,QLearningCS,MountainCar-v0,0,36,[-0.52379495  0.00184055],1,-1.0,False
37,QLearningCS,MountainCar-v0,0,37,[-0.5219529   0.00184202],0,-1.0,False
38,QLearningCS,MountainCar-v0,0,38,[-0.52112323  0.00082968],2,-1.0,False
39,QLearningCS,MountainCar-v0,0,39,[-0.5193121   0.00181111],1,-1.0,False
40,QLearningCS,MountainCar-v0,0,40,[-0.5175331   0.00177896],0,-1.0,False
41,QLearningCS,MountainCar-v0,0,41,[-0.5167997   0.00073347],2,-1.0,False
42,QLearningCS,MountainCar-v0,0,42,[-0.51511717  0.00168248],2,-1.0,False
43,QLearningCS,MountainCar-v0,0,43,[-0.5124983   0.00261888],1,-1.0,False
